model,coefficient,standard_error
Employment - County + Year FE,0.6940229256567882,2.534204013349678
Pay - County + Year FE,1.6406272722602329,1.04163917537478
Employment - County + State-Year FE,2.7025010607277826,3.4544318425776446
Pay - County + State-Year FE,3.220205218539914,0.8680291185331417
Pay - Exclude High Exposure,3.173956354177178,0.8843392730909542
