area_fips,manufacturing_exposure
01001,0.35329980185947263
01003,0.22633635233528682
01005,0.45368266274562224
01007,0.42077922077922075
01009,0.43915343915343913
01013,0.40635973468591496
01015,0.3356451964046901
01017,0.5016135705419942
01019,0.29035971223021584
01021,0.32051026509866454
01023,0.5760687342833194
01025,0.38566256335988414
01027,0.7050013372559508
01029,0.5743348982785602
01031,0.4323615160349854
01033,0.3763291724456773
01035,0.36907894736842106
01037,0.7314218841427735
01039,0.40610634053257005
01041,0.4405570652173913
01043,0.34695652173913044
01045,0.421856027753686
01047,0.3649881474032038
01049,0.6109597335755373
01051,0.3003684598378777
01053,0.38256006628003314
01055,0.35679712349605863
01057,0.5208159866777685
01059,0.43087325564666956
01061,0.486904989485758
01063,0.204093567251462
01065,0.4452958705832269
01067,0.5132075471698113
01069,0.2586211782040747
01071,0.5783738474434199
01073,0.14055530930548246
01075,0.5914396887159533
01077,0.3136314981151394
01079,0.4005286343612335
01081,0.3606678730054285
01083,0.4880797572605115
01085,0.41504854368932037
01089,0.25105730803554105
01091,0.4284956690825526
01093,0.6208027999562507
01095,0.5060725642695683
01097,0.17952893907953804
01099,0.18686411937598915
01101,0.15069220065564493
01103,0.3790751641385556
01105,0.4468365553602812
01107,0.3440654843110505
01109,0.3505037783375315
01111,0.5805909200096084
01113,0.35200911350455677
01115,0.31381639952311563
01117,0.2840583271893176
01119,0.3782068965517241
01121,0.4507565260765948
01123,0.6121900013121637
01125,0.201601486462573
01127,0.1769900419615457
01129,0.483878344386005
01131,0.47858705845576743
01133,0.601998904709748
02016,0.5456674473067916
02020,0.021292648168329282
02090,0.02673482578294847
02110,0.02023557837511326
02122,0.19772156787024522
02130,0.16428808496515102
02150,0.41840731070496084
02170,0.010118785745710514
02201,0.09933774834437085
02220,0.21924959216965742
02280,0.2665210267613326
04003,0.08023299511461857
04005,0.11075812274368231
04007,0.15240825688073395
04009,0.0516030534351145
04012,0.07493188010899182
04013,0.15885282986805632
04015,0.10234447436972935
04017,0.10031741833090861
04019,0.1300598936581987
04021,0.13680567723847906
04023,0.11889306457123335
04025,0.101620029455081
04027,0.06406948203159418
05001,0.3368031776468977
05003,0.3101657185258471
05005,0.3572141510480204
05007,0.35620221948212083
05009,0.29060429632603896
05011,0.4686976899899565
05013,0.8054054054054054
05015,0.43666563179136914
05017,0.3743277160272499
05019,0.28863025962399286
05021,0.526579739217653
05023,0.42298850574712643
05025,0.16842105263157894
05027,0.38823529411764707
05029,0.38637721569408484
05031,0.2615396838007468
05033,0.4021344938348358
05035,0.191969887076537
05037,0.37783318223028106
05039,0.42028493894165536
05041,0.3464587062132447
05043,0.459730778005932
05045,0.34905268159410824
05047,0.35745878568556494
05049,0.344206008583691
05051,0.14184882576891816
05053,0.456710775047259
05055,0.489287598944591
05057,0.42838477870325004
05059,0.3573128317774117
05061,0.6077423257220625
05063,0.4070160957490714
05065,0.34369747899159664
05067,0.30288166768853464
05069,0.23854703171591218
05071,0.5227377124483233
05073,0.389538885065382
05075,0.4556997742663657
05079,0.42070338420703385
05081,0.3176494760632833
05083,0.5258239055582883
05085,0.346044752600063
05087,0.4481881754609027
05089,0.5431818181818182
05091,0.22062287359330018
05093,0.36718290531268377
05095,0.3279503105590062
05097,0.3292831105710814
05099,0.36768963520555875
05101,0.25226860254083483
05103,0.3822161422708618
05107,0.26392961876832843
05109,0.34798345398138575
05111,0.43775933609958506
05113,0.4024248076474703
05115,0.2891871829766176
05119,0.1208500630601539
05121,0.5584719334719335
05123,0.2821692686935086
05125,0.28327682379962815
05127,0.5127175368139224
05129,0.4493891797556719
05131,0.36218241959321557
05133,0.44823032223983095
05135,0.0922992900054615
05137,0.3488235294117647
05139,0.3106743922107401
05141,0.2570573139435415
05143,0.2955402360395333
05145,0.3178979108335128
05147,0.3903601694915254
05149,0.6060299473897207
06001,0.16503276857896873
06005,0.17916002126528444
06007,0.1160002386017935
06009,0.05073545086335536
06011,0.08785529715762273
06013,0.12040546704204086
06015,0.1245674740484429
06017,0.06881763527054108
06019,0.1092264486374606
06021,0.24493080141615706
06023,0.1615844970076945
06025,0.046387104046894376
06027,0.04274509803921569
06029,0.06114288574897063
06031,0.1509365173403819
06033,0.050059031877213694
06035,0.1515003659429129
06037,0.22296047681779876
06039,0.16603177552726936
06041,0.05789276428286993
06043,0.03578383641674781
06045,0.2027613247684992
06047,0.19892449224478911
06051,0.011812812358019082
06053,0.08174701557166873
06055,0.16311980988491628
06057,0.14380530973451328
06059,0.2221342874505031
06061,0.1487986647517758
06063,0.16715741789354474
06065,0.1254774099952629
06067,0.08657543038132647
06069,0.20346410684474123
06071,0.14546457996609768
06073,0.15411009003497667
06075,0.07445012600004894
06077,0.18142145088110334
06079,0.08789320644990749
06081,0.12196964298439393
06083,0.1518402437059711
06085,0.34203456945890887
06087,0.13541244768462266
06089,0.10195133149678605
06093,0.11290160136972505
06095,0.10408943217439846
06097,0.17168684371086348
06099,0.22777473374199514
06101,0.11278240190249703
06103,0.18060064935064934
06105,0.18968481375358165
06107,0.1398636177761077
06109,0.09752409752409752
06111,0.16064462898682327
06113,0.14351699831439768
06115,0.19350523890911794
08001,0.15539456596470677
08003,0.02450732693279434
08005,0.06996261288539006
08007,0.01102629346904156
08013,0.2502315886984715
08015,0.06316160903316867
08021,0.11301859799713877
08029,0.09510250569476082
08031,0.09048725323893109
08035,0.07609414878532943
08037,0.022972870853170103
08039,0.12026359143327842
08041,0.16550173319370368
08043,0.15970122710296994
08045,0.023142382731423827
08049,0.03909952606635071
08051,0.01985177342509264
08055,0.09669211195928754
08059,0.17598534135503446
08063,0.0502283105022831
08067,0.04199247031566754
08069,0.23842584577028292
08071,0.02839564600094652
08075,0.14100114635078334
08077,0.1179703567122899
08081,0.015605493133583021
08083,0.06127114769090078
08085,0.16395256916996048
08087,0.26126704089815556
08089,0.14923234390992834
08091,0.07583774250440917
08097,0.02399654725938714
08099,0.18970503181029497
08101,0.15799122437939533
08105,0.06655348047538201
08107,0.01588836695219674
08123,0.1669700087045976
08125,0.04915254237288136
09001,0.21710835730457514
09003,0.1984531453216735
09005,0.31014004773093073
09007,0.25858074249690177
09009,0.18685197229980488
09011,0.2987643375630299
09013,0.162002567394095
09015,0.31034607850250306
10001,0.21164331561874525
10003,0.12944366939698237
10005,0.27163917001709875
11001,0.01593198960415427
12001,0.08079129913505181
12005,0.07654215474335127
12007,0.2078322540857231
12009,0.21216264114638717
12011,0.09609720684252362
12013,0.0893169877408056
12015,0.03851902464021865
12017,0.04762431550417612
12019,0.07307831107903284
12021,0.032732599838244496
12023,0.15415632754342432
12027,0.06386590282198175
12029,0.2551581843191197
12031,0.09699821094464854
12033,0.10733697311690056
12035,0.20761078998073218
12037,0.059930313588850176
12039,0.19465988556897648
12041,0.09384775808133472
12049,0.03738147337709701
12051,0.10369815092453773
12053,0.06763048272482235
12055,0.07938903646462207
12057,0.08641543898661795
12059,0.22822384428223844
12061,0.07620595846327384
12063,0.2360278830867066
12065,0.09635036496350365
12069,0.12250557337828286
12071,0.04977772744004304
12073,0.0340825350036846
12075,0.058168942842690946
12079,0.3026597370834607
12081,0.15109108524151507
12083,0.1897478698006638
12085,0.0903478081909858
12086,0.10995286076719302
12087,0.021703505335944683
12089,0.17180993059263214
12091,0.09376473215393395
12093,0.04088930348258706
12095,0.0947629291168789
12097,0.045802250600581615
12099,0.09459654903539
12101,0.06915320270425117
12103,0.13325216930772685
12105,0.1640921449699722
12107,0.26298541700802885
12109,0.13809329894574907
12111,0.05961334745762712
12113,0.18181144381855915
12115,0.07958749129159184
12117,0.13639343435616852
12119,0.10083090051650573
12123,0.313746826260428
12127,0.1095406013338965
12129,0.3853989813242784
12131,0.1907233214401557
12133,0.2481371087928465
13001,0.259467758444217
13003,0.4229848363926576
13005,0.5242275280898876
13009,0.418555667001003
13011,0.47591623036649217
13013,0.407136836189941
13015,0.4251801110192512
13017,0.5020519835841313
13019,0.4485981308411215
13021,0.20578832759339624
13025,0.23116883116883116
13027,0.4134387351778656
13031,0.22722772277227724
13033,0.32234508658460254
13035,0.31452581032412963
13037,0.3047830923248053
13039,0.2806460917219498
13043,0.22441160372194854
13045,0.452551263710062
13047,0.28997987027510624
13049,0.4391619661563255
13051,0.1680491959209857
13055,0.6635562467599793
13057,0.2261000316555872
13059,0.3033695769189364
13063,0.07890823686368248
13065,0.5116279069767442
13067,0.07370082488303197
13069,0.36438582028029676
13071,0.3831472081218274
13073,0.20406792670056606
13075,0.4213703591910655
13077,0.34091800706159275
13079,0.13980263157894737
13081,0.24487851357789422
13083,0.4076034648700674
13087,0.44454258675078867
13089,0.11986978111066073
13091,0.2103403982016699
13093,0.3977619532044761
13095,0.21908790408426243
13097,0.10733512786002691
13099,0.2786754966887417
13103,0.35215404699738906
13105,0.5788623721514444
13107,0.5300148834132627
13109,0.4862183020948181
13111,0.2937640871525169
13113,0.21838715817524268
13115,0.35065784941792383
13117,0.34400165186867643
13119,0.3242891252441936
13121,0.0893777110209582
13123,0.4742765273311897
13127,0.18876488714916298
13129,0.566478854996438
13131,0.2717301324503311
13133,0.5059575704736995
13135,0.1631113701092443
13137,0.4357316087308003
13139,0.36576344777679504
13143,0.4971365231849252
13145,0.22763347763347763
13147,0.590548733094979
13149,0.3933143669985775
13151,0.3552443263136373
13153,0.14017045454545454
13155,0.0152
13157,0.48481182795698924
13159,0.653276955602537
13161,0.5412826044322416
13163,0.5564853556485355
13165,0.5260416666666666
13167,0.65176223040505
13169,0.14564831261101244
13171,0.4661602209944751
13175,0.3619259714329596
13177,0.24924318869828457
13179,0.14114429953723182
13185,0.23625863252695772
13187,0.3635307781649245
13189,0.35918963314473445
13191,0.37591537835638733
13193,0.4724824355971897
13195,0.19669777458722182
13199,0.49240414757656137
13205,0.37386489479512736
13207,0.2849849152935716
13209,0.2416326530612245
13211,0.33694829760403533
13213,0.603587210813621
13215,0.2330771059513432
13217,0.3652354419316071
13219,0.21937842778793418
13221,0.10949612403100775
13225,0.21124129733401256
13227,0.2257328990228013
13229,0.2446705426356589
13231,0.42392566782810687
13233,0.5256785524215007
13237,0.47173659673659674
13241,0.36654706044714325
13243,0.4078549848942598
13245,0.16636960974701392
13247,0.3084149855907781
13249,0.6711656441717792
13251,0.567979669631512
13253,0.13072625698324022
13255,0.33893038937000064
13257,0.5044424700133274
13261,0.33745377707342844
13267,0.2656203731122298
13269,0.3010648596321394
13273,0.49208386820710315
13275,0.33085850212643264
13277,0.32580351728320195
13279,0.3058760397102227
13285,0.3749675745784695
13287,0.26745718050065875
13291,0.30820695807314896
13293,0.5264627336732216
13295,0.5841767068273093
13297,0.4045409110381265
13299,0.26446203127944223
13301,0.6714610143830432
13303,0.17369114257490945
13305,0.3938053097345133
13311,0.15859872611464967
13313,0.5312009331120183
13317,0.4686150780471604
13319,0.15107415107415106
13321,0.21594393342093737
15001,0.06075867715285186
15003,0.050453987428040456
15007,0.03944369505558398
15009,0.04612737420308398
16001,0.13769751693002258
16005,0.11595301250473665
16009,0.26507177033492824
16011,0.26549470362857785
16013,0.030970204021723177
16017,0.6754785169321376
16019,0.05865798255136091
16021,0.18858695652173912
16027,0.27468789578433145
16031,0.2715219760261533
16035,0.18491356731272918
16039,0.08391608391608392
16041,0.22761506276150628
16043,0.10307802433786686
16045,0.2742017232640649
16047,0.024573919936583432
16049,0.22069236821400473
16051,0.20088954781319496
16053,0.1657817109144543
16055,0.15206198705204668
16057,0.08827871272512548
16059,0.1664012738853503
16061,0.36057068741893644
16065,0.18449800589561297
16067,0.36618098159509205
16069,0.25820306999014225
16073,0.04573170731707317
16075,0.31204886174347585
16077,0.5657552083333334
16079,0.033875700186716456
16081,0.03309692671394799
16083,0.17935629466444575
16085,0.059800664451827246
16087,0.1945945945945946
17001,0.24296830671962388
17003,0.263986013986014
17005,0.2300432559968541
17007,0.6313707451701932
17011,0.25436324738205157
17015,0.21226415094339623
17017,0.4538481883099709
17019,0.17540286561617893
17021,0.10568168721908494
17023,0.22048997772828507
17025,0.48866563626996395
17027,0.13527673293927997
17029,0.24199917486886308
17031,0.1866888463675623
17033,0.3398527865404837
17035,0.1011011011011011
17037,0.307522865488675
17039,0.2222
17041,0.36615384615384616
17043,0.1562816063721073
17045,0.21254355400696864
17049,0.20713910070996583
17051,0.2901990811638591
17053,0.2444384156266956
17055,0.07944191343963554
17057,0.05761860710981895
17061,0.1991701244813278
17063,0.19112880822298361
17065,0.04083885209713024
17067,0.2970495560011458
17073,0.2944275248991687
17075,0.18346213292117466
17077,0.08512813522355507
17079,0.39185750636132316
17081,0.2090661564500699
17083,0.042156185210780926
17085,0.335812066925807
17089,0.28201985147214503
