area_fips,year,annual_avg_emplvl,avg_annual_pay
06103,1990,12396,18493
06105,1990,3204,18811
06107,1990,111085,17506
06109,1990,13812,19669
06111,1990,246302,24079
06113,1990,67186,22552
06115,1990,18852,21248
08001,1990,93536,22488
08003,1990,5279,15357
08005,1990,172188,25433
08007,1990,1556,14205
08009,1990,1016,13223
08011,1990,1355,19403
08013,1990,117964,23233
08015,1990,4184,15358
08017,1990,673,18226
08019,1990,2365,20495
08021,1990,1269,14142
08023,1990,718,15402
08025,1990,784,19680
08027,1990,325,11922
08029,1990,4990,14547
08031,1990,385754,26798
08033,1990,396,16020
08035,1990,13249,20702
08037,1990,14664,18441
08039,1990,1141,15222
08041,1990,152793,21041
08043,1990,8538,17709
08045,1990,11964,19911
08047,1990,392,13731
08049,1990,4197,14629
08051,1990,4807,14642
08053,1990,154,12178
08055,1990,1263,13773
08057,1990,460,18507
08059,1990,162704,25527
08061,1990,407,13785
08063,1990,2473,14475
08065,1990,1860,18919
08067,1990,13267,16809
08069,1990,74647,21298
08071,1990,3413,14861
08073,1990,1499,14539
08075,1990,6580,16332
08077,1990,34177,18915
08079,1990,268,13400
08081,1990,4237,23670
08083,1990,6395,17313
08085,1990,8347,16947
08087,1990,7926,15758
08089,1990,6447,14063
08091,1990,747,13520
08093,1990,940,16990
08095,1990,1181,14571
08097,1990,12740,20521
08099,1990,4732,15302
08101,1990,43143,18326
08103,1990,2423,22472
08105,1990,3817,16163
08107,1990,8403,18556
08109,1990,1116,15301
08111,1990,447,22796
08113,1990,2156,16335
08115,1990,798,12775
08117,1990,11423,15636
08119,1990,2039,13682
08121,1990,1075,15615
08123,1990,46370,20216
08125,1990,2520,15104
09001,1990,406729,34358
09003,1990,528085,29408
09005,1990,61746,24446
09007,1990,64325,26300
09009,1990,360462,25723
09011,1990,109218,25106
09013,1990,34374,24086
09015,1990,33181,22325
10001,1990,40789,20054
10003,1990,244727,26286
10005,1990,48369,17428
11001,1990,669154,33733
12001,1990,94052,19027
12003,1990,5040,15796
12005,1990,50898,17337
12007,1990,5572,16429
12009,1990,161831,23170
12011,1990,501213,22551
12013,1990,2578,16310
12015,1990,27392,17879
12017,1990,21594,18079
12019,1990,26082,17190
12021,1990,72408,18355
12023,1990,13706,17080
12027,1990,7963,14884
12029,1990,2337,17703
12031,1990,345168,22302
12033,1990,107589,19959
12035,1990,7539,16620
12037,1990,2099,14761
12039,1990,14091,16156
12041,1990,1783,16537
12043,1990,970,16944
12045,1990,3524,20807
12047,1990,4538,24121
12049,1990,6838,16586
12051,1990,9991,17488
12053,1990,20292,17123
12055,1990,20409,15536
12057,1990,439650,21169
12059,1990,3128,14084
12061,1990,34202,19647
12063,1990,13350,16292
12065,1990,2876,14648
12067,1990,1085,15188
12069,1990,44215,17507
12071,1990,125611,19251
12073,1990,110827,19962
12075,1990,5384,15259
12077,1990,1404,16675
12079,1990,4581,16187
12081,1990,74725,18120
12083,1990,62711,17533
12085,1990,38641,20497
12086,1990,870554,23381
12087,1990,30394,17623
12089,1990,12069,21176
12091,1990,53462,17591
12093,1990,7777,16540
12095,1990,430194,21948
12097,1990,36506,16696
12099,1990,362729,23622
12101,1990,61787,16991
12103,1990,349303,20169
12105,1990,156865,19451
12107,1990,16086,18813
12109,1990,26519,17177
12111,1990,45222,18824
12113,1990,17614,16958
12115,1990,115459,19489
12117,1990,90510,20017
12119,1990,6253,15547
12121,1990,7384,15713
12123,1990,6566,20280
12125,1990,3536,18199
12127,1990,122025,17511
12129,1990,2570,17227
12131,1990,7769,14294
12133,1990,4222,16611
13001,1990,5104,22833
13003,1990,1563,15606
13005,1990,3464,14128
13007,1990,632,15937
13009,1990,18317,17848
13011,1990,2284,12687
13013,1990,8538,17789
13015,1990,20067,19878
13017,1990,6425,16957
13019,1990,4738,17276
13021,1990,76685,21107
13023,1990,3302,15827
13025,1990,1288,16093
13027,1990,3421,13727
13029,1990,2533,14793
13031,1990,14236,17224
13033,1990,6148,21922
13035,1990,3638,16024
13037,1990,1386,14079
13039,1990,9161,21020
13043,1990,2355,14064
13045,1990,27123,18388
13047,1990,11492,17313
13049,1990,1764,15212
13051,1990,105526,21283
13053,1990,5914,23601
13055,1990,7099,16272
13057,1990,16026,17036
13059,1990,52143,21210
13061,1990,566,12145
13063,1990,84948,25711
13065,1990,1851,17248
13067,1990,184318,24808
13069,1990,11907,16179
13071,1990,12034,16107
13073,1990,12787,17474
13075,1990,4046,14510
13077,1990,17580,20299
13079,1990,965,13494
13081,1990,7903,14531
13083,1990,2559,15607
13085,1990,1151,17255
13087,1990,10314,17140
13089,1990,274905,25381
13091,1990,4417,14697
13093,1990,2646,15048
13095,1990,47653,20521
13097,1990,18171,18257
13099,1990,4801,21428
13101,1990,269,13741
13103,1990,4398,20149
13105,1990,6928,15737
13107,1990,7654,14468
13109,1990,3342,14410
13111,1990,3427,14151
13113,1990,18245,18410
13115,1990,35789,20589
13117,1990,11268,18536
13119,1990,5399,15604
13121,1990,592927,27615
13123,1990,5166,15289
13125,1990,622,15158
13127,1990,30326,18353
13129,1990,16990,19198
13131,1990,5881,14584
13133,1990,4248,15622
13135,1990,137877,24383
13137,1990,12190,18961
13139,1990,43078,19670
13141,1990,1680,13451
13143,1990,6483,16306
13145,1990,3452,13900
13147,1990,7464,17623
13149,1990,1835,20160
13151,1990,13422,21100
13153,1990,38134,20968
13155,1990,1763,14343
13157,1990,8946,16990
13159,1990,1905,18209
13161,1990,5766,17552
13163,1990,5711,16714
13165,1990,2103,14383
13167,1990,2291,11259
13169,1990,2292,16463
13171,1990,3541,15117
13173,1990,1116,14082
13175,1990,16402,17998
13177,1990,1856,15903
13179,1990,10021,17189
13181,1990,1710,13437
13183,1990,375,14416
13185,1990,31722,17400
13187,1990,3461,17246
13189,1990,6658,16231
13191,1990,1801,13375
13193,1990,4143,19994
13195,1990,2169,15389
